price,apartment_type,metro_station,minutes_to_metro,number_of_rooms,area,living_area,kitchen_area,floor,number_of_floors,renovation
350.0,Secondary, Спортивная,9,6,305.0,250.0,25.0,2,5,Designer
747.0,Secondary, Спортивная,8,0,517.86,309.0,59.0,14,15,Without renovation
211.1912,Secondary,Полянка,6,4,167.1,86.6,12.0,1,7,Designer
85.0,Secondary, Чистые пруды,11,4,161.0,96.0,15.0,2,6,Designer
186.03,Secondary, Смоленская,6,4,206.7,106.6,23.7,3,5,Designer
281.6,Secondary, Кропоткинская,3,4,128.0,10.0,17.2,2,5,Without renovation
98.5,Secondary,Маяковская,5,4,141.3,98.0,20.0,11,13,Without renovation
130.0,Secondary, Ломоносовский проспект,16,5,370.0,275.0,25.0,21,21,Designer
104.5,Secondary, Китай-город,12,4,118.0,10.0,16.4,3,7,Without renovation
95.0,Secondary, Деловой центр,7,4,155.0,80.5,19.5,44,53,Without renovation
130.0,Secondary, ЗИЛ,14,6,222.0,96.0,37.0,1,3,Without renovation
150.0,Secondary, Октябрьское поле,8,5,243.6,125.3,26.8,3,3,Without renovation
250.0,Secondary, Кропоткинская,5,5,282.0,20.0,30.0,2,6,Designer
176.4,Secondary, Баррикадная,16,4,195.2,20.0,22.8,5,5,European-style renovation
99.9,Secondary,Щукинская,14,4,203.0,115.0,50.0,17,35,European-style renovation
154.99,Secondary,Чистые пруды,6,5,200.0,121.0,15.0,3,6,Designer
99.0,Secondary, Чистые пруды,5,6,207.0,150.0,20.0,2,5,European-style renovation
264.6,Secondary, Деловой центр,1,5,270.0,138.6,29.0,92,95,Designer
427.790837,Secondary, Спортивная,12,5,239.6,62.7,82.1,4,6,Designer
1028.05,Secondary, Полянка,5,4,456.7,56.5,60.3,1,3,Designer
115.0,Secondary, Славянский бульвар,11,5,212.0,100.0,13.0,27,31,European-style renovation
155.0,Secondary, Чистые пруды,5,6,261.0,16.6,28.2,3,6,Designer
140.0,Secondary,Белорусская,14,4,126.0,45.0,30.0,5,9,Designer
85.0,Secondary, Чистые пруды,11,4,161.0,96.0,15.0,2,6,Designer
148.8,Secondary,Савеловская,9,4,230.0,209.0,9.0,17,20,Designer
86.0,Secondary,Фрунзенская,6,3,97.0,51.2,14.7,5,14,Designer
350.0,Secondary, Фрунзенская,13,6,310.0,158.9,32.3,2,14,Designer
359.96005,Secondary,Терехово,48,5,289.0,160.0,25.0,4,4,Designer
120.0,Secondary, Третьяковская,6,4,121.0,14.9,16.7,3,7,Designer
431.65,Secondary, Полянка,3,4,273.0,104.0,20.0,8,8,Designer
95.0,Secondary,Маяковская,2,4,151.0,93.0,17.0,3,8,Designer
119.0,Secondary, Третьяковская,2,5,170.0,105.0,15.0,4,6,European-style renovation
95.0,Secondary,Минская,29,4,150.0,100.0,17.0,11,53,Without renovation
155.0,Secondary,Выставочная,9,0,225.0,150.0,25.0,15,21,Without renovation
85.9,Secondary, Серпуховская,9,4,131.1,106.9,13.5,2,17,Designer
