price,apartment_type,metro_station,minutes_to_metro,number_of_rooms,area,living_area,kitchen_area,floor,number_of_floors,renovation
62.5,Secondary,Ломоносовский проспект,18,3,143.6,73.0,30.0,6,38,Cosmetic
7.201389,Secondary, Бунинская аллея,5,6,20.4,6.5,6.9,16,17,Cosmetic
44.0,Secondary,Улица 1905 года,12,1,70.0,55.0,10.0,37,44,Designer
11.0,Secondary,Коммунарка,25,1,44.9,20.0,12.0,10,25,European-style renovation
6.49,Secondary,Свиблово,11,0,19.0,16.0,3.0,1,4,Cosmetic
11.3432,New building,Братиславская,13,2,64.45,32.6,14.2,2,16,Cosmetic
6.9687,New building,Депо,19,1,39.15,11.8,16.7,5,11,Cosmetic
13.499,Secondary, Тёплый Стан,4,3,66.9,10.9,12.2,2,12,Cosmetic
45.0,Secondary,Павелецкая,17,3,81.6,33.7,28.8,13,9,Without renovation
9.95,Secondary,Южная,13,2,44.0,29.0,6.2,1,9,Cosmetic
8.843285,New building,Каширская,4,1,33.06,18.8,9.4,11,10,Cosmetic
9.82142,Secondary, Ольховая,14,1,43.4,16.9,17.2,8,14,Cosmetic
8.912,New building,Депо,19,1,44.56,24.7,10.3,13,11,Cosmetic
42.99,Secondary, Динамо,6,3,70.0,37.5,12.4,15,15,Designer
48.0,Secondary, Добрынинская,12,0,143.5,74.7,18.5,5,29,Without renovation
8.33953,New building,Депо,19,1,43.21,13.9,18.1,12,11,Cosmetic
12.6,Secondary,Улица Скобелевская,18,1,42.0,14.5,12.5,8,26,European-style renovation
7.20837,New building,Братиславская,13,1,39.39,11.8,16.1,3,16,Cosmetic
52.0,Secondary,Бауманская,1,5,183.0,94.7,21.8,5,6,European-style renovation
18.0,Secondary,Люблино,14,4,95.0,89.0,6.0,1,5,European-style renovation
3.39,Secondary, Нижегородская,7,0,10.4,7.4,7.5,2,3,European-style renovation
13.5,Secondary,Домодедовская,13,3,59.0,40.0,6.0,5,9,Cosmetic
52.5,Secondary,Раменки,9,3,100.3,54.3,20.6,10,28,Without renovation
7.8,Secondary,Прокшино,11,0,20.3,8.8,5.0,2,9,Cosmetic
13.5,Secondary,Говорово,13,1,45.0,17.0,13.0,5,12,Cosmetic
7.0,Secondary,Сухаревская,2,0,13.0,8.0,3.0,3,3,Cosmetic
23.3,Secondary,Павшино,17,4,93.0,51.3,13.0,5,25,European-style renovation
5.2,Secondary,Окружная,5,0,20.8,13.0,4.0,3,5,Without renovation
27.0,Secondary,Нижегородская,8,3,80.0,42.6,13.3,23,25,European-style renovation
30.499,Secondary, Багратионовская,4,3,68.7,28.1,22.1,8,13,European-style renovation
12.05565,New building,Депо,19,2,67.35,36.2,12.2,7,11,Cosmetic
10.16192,New building,Перерва,4,2,54.4,31.2,10.4,7,23,Cosmetic
7.469211,Secondary, Бунинская аллея,18,6,22.4,7.6,5.0,8,30,Cosmetic
14.0,Secondary,Братиславская,26,2,52.0,30.3,10.0,4,12,European-style renovation
16.9,Secondary,Бутырская ,8,1,43.3,24.0,21.7,27,32,Without renovation
14.23341,New building,Братиславская,13,3,85.23,49.7,15.3,11,16,Cosmetic
